owm_city_name,owm_country
Chichester,GB
Chichester,US
Chima,IN
Chima,CO
China,US
China,MX
Chinameca,SV
Chinameca,MX
Chinchilla,AU
Chinchilla,US
Chinchon,ES
Chinchon,KR
Chino,US
Chino,JP
Chipping Norton,AU
Chipping Norton,GB
Chita,CO
Chita,RU
Chitre,PA
Chitre,NP
Christchurch,NZ
Christchurch,GB
Cifuentes,CU
Cifuentes,ES
Ciudad Bolivar,VE
Ciudad Bolivar,CO
Clare,GB
Clare,US
Clare,AU
Claremont,US
Claremont,ZA
Claremont,AU
Clarkson,US
Clarkson,AU
Clarkston,US
Clarkston,GB
Clermont,FR
Clermont,US
Cleveland,AU
Cleveland,US
Clifton Springs,AU
Clifton Springs,US
Coaldale,CA
Coaldale,US
Coatepeque,GT
Coatepeque,SV
Cochrane,CA
Cochrane,CL
Cofradia,MX
Cofradia,HN
Colchester,GB
Colchester,US
Coleraine,US
Coleraine,GB
Colima,MX
Colima,CR
Colombia,CO
Colombia,CU
Colombo,BR
Colombo,LK
Colon,CU
Colon,MX
Colon,PA
Colon,CR
Colon,CO
Colonia,US
Colonia,PH
Comerio,PR
Comerio,IT
Comitancillo,MX
Comitancillo,GT
Como,IT
Como,US
Como,AU
Compostela,MX
Compostela,PH
Compton,US
Compton,GB
Concepcion,PH
Concepcion,CO
Concepcion,PE
Concepcion,AR
Concepcion,BO
Concepcion,PY
Concepcion,CL
Concepcion,GT
Concepcion,CR
Concord,CA
Concord,US
Concord,AU
Concordia,PH
Concordia,CO
Concordia,MX
Concordia,BR
Concordia,AR
Concordia,US
Condado,CU
Condado,BR
Constancia,MX
Constancia,PH
Constantine,US
Constantine,DZ
Constitucion,UY
Constitucion,CL
Consuegra,PH
Consuegra,ES
Cordoba,AR
Cordoba,MX
Cordoba,ES
Cordoba,CO
Cordova,PH
Cordova,US
Corinto,BR
Corinto,CO
Corinto,NI
Corinto,SV
Cornwall,US
Cornwall,CA
Corozal,CO
Corozal,BZ
Corozal,HN
Corozal,PR
Cortez,US
Cortez,PH
Courtenay,CA
Courtenay,FR
Coventry,GB
Coventry,US
Cowes,GB
Cowes,AU
Cranbrook,GB
Cranbrook,CA
Crest,US
Crest,FR
Creston,US
Creston,CA
Creswell,US
Creswell,GB
Creve Coeur,US
Creve Coeur,MU
Crewe,GB
Crewe,US
Crofton,GB
Crofton,US
Crosby,US
Crosby,GB
Croydon,AU
Croydon,US
Cruz Alta,AR
Cruz Alta,BR
Cuenca,EC
Cuenca,PH
Cuenca,ES
Cumberland,US
Cumberland,CA
Curti,IT
Curti,IN
Curug,RS
Curug,ID
Dalby,SE
Dalby,AU
Dalkeith,AU
Dalkeith,GB
Damascus,SY
Damascus,US
Damme,BE
Damme,DE
Danbury,GB
Danbury,US
Darlington,AU
Darlington,US
Darlington,GB
Dartmouth,GB
Dartmouth,CA
Daru,PG
Daru,SL
Daulatpur,IN
Daulatpur,PK
Davidson,AU
Davidson,US
Delhi,IN
Delhi,US
Delphi,US
Delphi,GR
Delta,US
Delta,MX
Delta,CA
Denmark,AU
Denmark,US
Denton,US
Denton,GB
Derbent,TR
Derbent,RU
Derby,GB
Derby,AU
Derby,US
Derry,IE
Derry,GB
Derry,US
Desna,UA
Desna,CZ
Dhaka,BD
Dhaka,IN
Dhali,IN
Dhali,CY
Diamante,AR
Diamante,IT
Diamantina,PH
Diamantina,BR
Didsbury,GB
Didsbury,CA
Dieppe,CA
Dieppe,FR
Dimitrovgrad,RU
Dimitrovgrad,BG
Dingle,PH
Dingle,IE
Discovery Bay,JM
Discovery Bay,US
Doba,TD
Doba,RO
Dobra,PL
Dobra,RO
Dobra,CZ
Dobre,PL
Dobre,UA
Dobrun,RU
Dobrun,RO
Dobryanka,UA
Dobryanka,RU
Dolo,IT
Dolo,PH
Dolores,NI
Dolores,AR
Dolores,PH
Dolores,GT
Dolores,ES
Dolores,UY
Donetsk,RU
Donetsk,UA
Donnybrook,AU
Donnybrook,IE
Dordrecht,NL
Dordrecht,ZA
Dos Hermanas,ES
Dos Hermanas,PH
Douglas,US
Douglas,IM
Dover,GB
Dover,US
Dresden,US
Dresden,DE
Druzhba,RU
Druzhba,UA
Duarte,MX
Duarte,US
Dublin,US
Dublin,IE
Dudley,US
Dudley,GB
Duenas,ES
Duenas,PH
Dumbarton,US
Dumbarton,GB
Dunbar,US
Dunbar,GB
Duncan,CA
Duncan,US
Dundalk,US
Dundalk,IE
Dundee,US
Dundee,ZA
Dundee,GB
Dunedin,US
Dunedin,NZ
Dunkirk,GB
Dunkirk,US
Dunstable,US
Dunstable,GB
Duran,EC
Duran,PH
Durango,MX
Durango,US
Durango,ES
Durham,US
Durham,GB
Easington,JM
Easington,GB
East Hills,US
East Hills,AU
Easton,GB
Easton,US
Eastwood,GB
Eastwood,US
Eaton,AU
Eaton,US
Eden,PH
Eden,US
Eden,AU
Edinburgh,US
Edinburgh,GB
Eglinton,AU
Eglinton,GB
El Bosque,MX
El Bosque,ES
El Carril,AR
El Carril,DO
El Castillo,MX
El Castillo,CO
El Cerrito,US
El Cerrito,CO
El Colorado,AR
El Colorado,MX
El Dorado,MX
El Dorado,US
El Limon,MX
El Limon,VE
El Llano,MX
El Llano,DO
El Llano,HN
El Monte,US
El Monte,CL
El Palmar,DO
El Palmar,GT
El Paso,CO
El Paso,US
El Paso,ES
El Penon,DO
El Penon,CO
El Progreso,GT
El Progreso,HN
El Progreso,PA
El Rosario,HN
El Rosario,MX
El Rosario,SV
El Rosario,NI
El Rosario,CO
El Tejar,GT
El Tejar,MX
El Triunfo,HN
El Triunfo,EC
El Tular,MX
El Tular,HN
Eldorado,BR
Eldorado,US
Elena,AR
Elena,BG
Elgin,GB
Elgin,US
Elizabeth,US
Elizabeth,AU
Elwood,US
Elwood,AU
Ely,US
Ely,GB
Embu,KE
Embu,BR
Emmaus,RU
Emmaus,US
Emmen,NL
Emmen,CH
Emsworth,GB
Emsworth,US
Enderby,GB
Enderby,CA
Enfield,US
Enfield,AU
Ennis,US
Ennis,IE
Entre Rios,BR
Entre Rios,BO
Epe,NG
Epe,NL
Epping,GB
Epping,AU
Epsom,GB
Epsom,US
Epworth,ZW
Epworth,GB
Erlenbach,CH
Erlenbach,DE
Ermelo,NL
Ermelo,ZA
Erzin,TR
Erzin,RU
Eschau,FR
Eschau,DE
Eschenbach,CH
Eschenbach,DE
Escuintla,GT
Escuintla,MX
Esmeralda,PH
Esmeralda,CU
Espanola,US
Espanola,CA
Esperance,AU
Esperance,US
Esperanza,AR
Esperanza,DO
Esperanza,PH
Esperanza,MX
Esperanza,CU
Essen,BE
Essen,DE
Estancia,PH
Estancia,BR
Exeter,GB
Exeter,US
Fairview,CA
Fairview,US
Falkenberg,DE
Falkenberg,SE
Falmouth,US
Falmouth,GB
Falmouth,JM
Farah,AF
Farah,IN
Faridpur,IN
Faridpur,BD
Farnham,CA
Farnham,GB
Felsberg,DE
Felsberg,CH
Ferndale,GB
Ferndale,US
Filadelfia,PY
Filadelfia,CO
Filadelfia,IT
Finley,AU
Finley,US
Fitzwilliam,US
Fitzwilliam,GB
Fleetwood,GB
Fleetwood,US
Flint,GB
Flint,US
Flora,US
Flora,PH
Flores,HN
Flores,GT
Flores,BR
Floresti,RO
Floresti,MD
Florida,US
Florida,CO
Florida,UY
Florida,HN
Florida,PR
Florida,CU
Foca,TR
Foca,BA
Fontana,AR
Fontana,US
Fontvieille,MC
Fontvieille,FR
Forbach,DE
Forbach,FR
Forest Hill,AU
Forest Hill,US
Forestville,AU
Forestville,US
Forestville,CA
Forino,IT
Forino,MK
Formosa,BR
Formosa,AR
Fortuna,ES
Fortuna,BR
Fortuna,US
Fortuna,CR
Fredonia,US
Fredonia,CO
Freeport,US
Freeport,BS
Freetown,US
Freetown,SL
Freshwater,AU
Freshwater,GB
Fresno,US
Fresno,CO
Frontera,MX
Frontera,ES
Fruitvale,US
Fruitvale,CA
Fundacion,CO
Fundacion,DO
Fundao,PT
Fundao,BR
Funes,ES
Funes,AR
Funes,CO
Gagarin,RU
Gagarin,UZ
Gais,CH
Gais,IT
Galston,GB
Galston,AU
Galvez,AR
Galvez,ES
Gamba,GA
Gamba,TZ
Gap,US
Gap,FR
Gay,RU
Gay,AM
Gaya,NE
Gaya,IN
Gaya,NG
Gazi,KE
Gazi,GR
Genova,IT
Genova,CO
Genova,GT
George Town,KY
George Town,AU
George Town,MY
Georgetown,GM
Georgetown,GY
Georgetown,US
Georgiyevka,RU
Georgiyevka,KZ
Gibraltar,US
Gibraltar,GI
Gladstone,AU
Gladstone,US
Glasgow,GB
Glasgow,US
Glastonbury,US
Glastonbury,GB
Glencoe,ZA
Glencoe,US
Glendale,ZW
Glendale,US
Glina,HR
Glina,RO
Glodeni,MD
Glodeni,RO
Gloucester,US
Gloucester,AU
Gloucester,GB
Golden,CA
Golden,US
Golden Grove,US
Golden Grove,AU
Golden Grove,JM
Goma,CD
Goma,PH
Gondomar,PT
Gondomar,ES
Gonzaga,PH
Gonzaga,IT
Gonzalez,CO
Gonzalez,US
Gora,PL
Gora,NG
Gordes,TR
Gordes,FR
Gordon,AU
Gordon,US
Gore,ET
Gore,NZ
Gotha,US
Gotha,DE
Grado,IT
Grado,ES
Grafton,US
Grafton,AU
Granada,PH
Granada,CO
Granada,ES
Granada,NI
Granby,US
Granby,CA
Grand Forks,CA
Grand Forks,US
Graneros,CL
Graneros,AR
Grantham,GB
Grantham,US
Granville,AU
Granville,FR
Granville,US
Gray,US
Gray,FR
Greenfield,US
Greenfield,GB
Greenock,GB
Greenock,US
Greenville,US
Greenville,LR
Greenwich,AU
Greenwich,US
Greenwood,US
Greenwood,CA
Gretna,GB
Gretna,US
Greve,DK
Greve,IT
Griffith,AU
Griffith,US
Groningen,SR
Groningen,NL
Grove,GB
Grove,US
Guadalajara,MX
Guadalajara,ES
Guadalupe,ES
Guadalupe,CO
Guadalupe,PE
Guadalupe,CR
Guadalupe,PH
Guadalupe,PA
Guadalupe,US
Guadalupe,MX
Guayabal,PR
Guayabal,CO
Guia,ES
Guia,PT
Guildford,AU
Guildford,GB
Gurun,TR
Gurun,MY
Hadley,US
Hadley,GB
Hajjah,PS
Hajjah,YE
Halifax,CA
Halifax,GB
Halifax,US
Halle,BE
Halle,DE
Halstead,GB
Halstead,US
Hamburg,DE
Hamburg,US
Hamilton,US
Hamilton,NZ
Hamilton,GB
Hamilton,CA
Hamilton,AU
Hamilton,BM
Hampstead,US
Hampstead,CA
Hampton,CA
Hampton,US
Hampton,AU
Hangu,RO
Hangu,PK
Hangu,CN
Hanover,US
Hanover,CA
Happy Valley,AU
Happy Valley,US
Haren,NL
Haren,DE
Haripur,IN
Haripur,PK
Harlingen,US
Harlingen,NL
Harnai,IN
Harnai,PK
Harrington,US
Harrington,AU
Harrison,PH
Harrison,US
Harrogate,GB
Harrogate,US
Harvey,AU
Harvey,US
Harwich,US
Harwich,GB
Hasselt,BE
Hasselt,NL
Hastings,US
Hastings,AU
Hastings,SL
Hastings,GB
Hastings,NZ
Hatfield,GB
Hatfield,US
Hausen,DE
Hausen,CH
Havana,US
Havana,CU
Haverhill,US
Haverhill,GB
Hawarden,US
Hawarden,GB
Haworth,US
Haworth,GB
Hayes,GB
Hayes,JM
Hayfield,US
Hayfield,GB
Hazro,PK
Hazro,TR
Heathcote,US
Heathcote,AU
Hebron,PS
Hebron,US
Heidelberg,ZA
Heidelberg,DE
Heiden,CH
Heiden,DE
Helensburgh,GB
Helensburgh,AU
Hempstead,GB
Hempstead,US
Hereford,GB
Hereford,US
Hernando,US
Hernando,AR
Hernani,PH
Hernani,ES
Herne,DE
Herne,BE
Herrera,PH
Herrera,ES
Hertford,GB
Hertford,US
Hidalgo,MX
Hidalgo,US
Hillsborough,US
Hillsborough,GB
Hinckley,GB
Hinckley,US
Hingham,GB
Hingham,US
Hinton,GB
Hinton,CA
Hinton,US
Hobart,US
Hobart,AU
Hobo,PH
Hobo,CO
Hoboken,BE
Hoboken,US
Hochdorf,CH
Hochdorf,DE
Hohenau,DE
Hohenau,PY
Holsworthy,GB
Holsworthy,AU
Hondo,JP
Hondo,US
Hope,US
Hope,CA
Horn,DE
Horn,CH
Horn,AT
Horsham,US
Horsham,AU
Horsham,GB
Horst,DE
Horst,NL
Houston,US
Houston,GB
Houston,CA
Hove,BE
Hove,GB
Hudson,CA
Hudson,US
Hull,US
Hull,GB
Humboldt,US
Humboldt,CA
Huntingdon,CA
Huntingdon,US
Huntingdon,GB
Huntsville,US
Huntsville,CA
Hyderabad,IN
Hyderabad,PK
Ibarra,PH
Ibarra,EC
Ibi,NG
Ibi,ES
Ichon,PH
Ichon,KR
Ilam,NP
Ilam,IR
Ilchester,GB
Ilchester,US
Ilion,GR
Ilion,US
Illela,NE
Illela,NG
Imperial,PE
Imperial,US
Ina,US
Ina,JP
Independencia,PE
Independencia,BR
Inga,FI
Inga,BR
Ingenio,ES
Ingenio,PR
Interlaken,US
Interlaken,CH
Inverness,GB
Inverness,US
Inza,CO
Inza,RU
Ipswich,US
Ipswich,GB
Irvine,US
Irvine,GB
Isabela,PH
Isabela,PR
Islington,JM
Islington,GB
Istok,RU
Istok,XK
Itu,BR
Itu,NG
Izra,SY
Izra,JO
Jaen,PH
Jaen,PE
Jaen,ES
Jalalabad,IN
Jalalabad,AF
Jalalpur,IN
Jalalpur,PK
Jalapa,NI
Jalapa,GT
Jalapa,MX
Jamalpur,BD
Jamalpur,IN
Jamestown,SH
Jamestown,US
Jardin,CO
Jardin,FR
Jawhar,IN
Jawhar,SO
Jena,US
Jena,DE
Jericho,US
Jericho,PS
Jerico,HN
Jerico,CO
Jesenice,CZ
Jesenice,HR
Jesenice,SI
Jimenez,PH
Jimenez,MX
Joinville,BR
Joinville,FR
Jones,US
Jones,PH
Jordan,US
Jordan,PH
Junin,EC
Junin,AR
Junin,PE
Juru,BR
Juru,MY
Jutiapa,HN
Jutiapa,GT
Kabala,TR
Kabala,SL
Kabul,AF
Kabul,IL
Kadoma,ZW
Kadoma,JP
Kaman,TR
Kaman,IN
Kamen,HR
Kamen,DE
Kamenka,RU
Kamenka,KZ
Kandi,BJ
Kandi,IN
Kant,KG
Kant,IN
Karasu,KZ
Karasu,TR
Kas,DK
Kas,TR
Kasama,JP
Kasama,ZM
Kathu,TH
Kathu,ZA
Kati,IN
Kati,ML
Kayes,CG
Kayes,ML
Kazan,TR
Kazan,RU
Kelso,AU
Kelso,US
Kelso,GB
Kempsey,GB
Kempsey,AU
Kenilworth,GB
